line,name,colour
1,Bakerloo Line,#ab6612
3,Circle Line,#f7dc00
6,Hammersmith & City Line,#f5a6b3
7,Jubilee Line,#767b7f
11,Victoria Line,#0076bd
2,Central Line,#df002c
4,District Line,#0d6928
5,East London Line,#f3ba22
8,Metropolitan Line,#8b004c
9,Northern Line,#000000
10,Piccadilly Line,#002d73
12,Waterloo & City Line,#89cbc1
13,Docklands Light Railway,#00A77E
