x,y
24.84410,59.43950
24.61500,59.34330
24.86560,59.44050
24.69830,59.40130
24.76300,59.44070
24.65520,59.41350
24.71670,59.37210
24.74280,59.44420
24.75620,59.43770
24.63110,59.36010
24.55980,59.32240
24.72120,59.39120
24.70230,59.44690
24.70720,59.41450
24.68870,59.40850
24.74530,59.42540
24.73010,59.44150
24.76040,59.43420
24.74460,59.43810
24.79440,59.42190
